,img,hash
0,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_672.jpg,6c1c1c6c1898d8480496b4c46c201501
1,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_114.jpg,7c50915053564243-71f57fe3daff742
2,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_100.jpg,0707060e0404040c-51888c0789488c1
3,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_666.jpg,-2f84f3c3e1c9e1e900830f0000feb87f
4,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_896.jpg,5c4a537bf3f275252188166b99f2d464
5,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_128.jpg,-64a2593fbe7edcc7-40ae817926fae18f
6,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_882.jpg,-2dab71e5d1d3d595-7dff77ed97930ffa
7,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_869.jpg,-547672765d65656603037059c52f4860
8,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_49.jpg,131317171717171709211606060700ff
9,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_855.jpg,-373518894fab393e7f01000080215482
10,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_61.jpg,115545470747075b001071c7220cffff
11,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_841.jpg,-6464643424262627-4f4fcf87c3e3aff0
12,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_699.jpg,67676321672723610080167fc7fcffff
13,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_75.jpg,-3e3c3a5a5397560a-20cbdff7ffffe17
14,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_316.jpg,7b39697f1e999898-20ccfc1b8ffff800
15,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_470.jpg,4e5e8737651b192361421c12e7fcf94f
16,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_464.jpg,22b2abaabae6b54308d0254932c8bff7
17,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_302.jpg,28a4a5a4a4244414-24f0cccf55d53edc
18,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_458.jpg,-baba96c34ada8ad-573693ca6659b9bf
19,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_6.jpg,66307b69cdcd964b-3398c91c3ef64b6a
20,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_459.jpg,56b3098d0d6d29a55ce4738abf55cab8
21,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_7.jpg,-35a5a5a1aba3a398-74bf3cfffbe1cb35
22,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_465.jpg,00033737270f131700004237250f7f7f
23,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_303.jpg,542c18c89c24a4aa16ee20cb1150bd02
24,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_317.jpg,-77368dce4ca2d4ca3819c065a7d82ae7
25,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_471.jpg,1150e8a84c102471-0007fff336ff397
26,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_74.jpg,440f0f0949afc773-1cfbe3e0040673fc
27,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_698.jpg,-c360b85c5e0e0ba260885c1e0e01006
28,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_840.jpg,-371f3f13396d65ca18e003e08007bbf4
29,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_60.jpg,-1737b53545673512-332b5f40feeef00
30,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_854.jpg,-145454d454545455-a6f3293a5f9f1d0
31,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_48.jpg,-3a139a3e98ba3ab70790209966401c42
32,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_868.jpg,-1b9b6b39f26b2f28-7ffffe7f8000595d
33,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_883.jpg,-581073f732db21403fcf3ff20b61fe0
34,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_897.jpg,-296d6d162a63ab2a5c8cb602d5a85bf4
35,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_129.jpg,73674f6a4b2aaaaa13041c605b4a0800
36,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_101.jpg,606949d9c8889a9e2064684046899199
37,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_667.jpg,555555f6f5b4d4943f4057ce4384e944
38,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_673.jpg,-5159595b1332123050100226a40aa95
39,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_115.jpg,6868acad9d5555d6114346022bdd5d28
40,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_920.jpg,1aadade9813989a91200b0c982473858
41,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_908.jpg,-3bfe19898b959b0b00000112350ae878
42,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_713.jpg,22b2abaabae6b54308d0254932c8bff7
43,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_707.jpg,-21717314e46d5e3d500880845b10a0c7
44,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_288.jpg,-4d5f766ddc66ebb578e649b04f3b04f6
45,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_539.jpg,-3bfe19898b959b0b00000112350ae878
46,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_511.jpg,-56caca64262ca89d-7d9fffdffeef63ff
47,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_277.jpg,686a7a3a3a2a2aaa0000000021204626
48,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_263.jpg,-70f2f272f070d091-38679bfeca76cd88
49,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_505.jpg,3932222ac99353510011042ac8800009
50,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_275.jpg,-3c37979f9d15543e-40e134ee9b3fdf00
51,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_513.jpg,1aadade9893989a91200b0c982473858
52,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/smut/SM_507.jpg,-2d076b585d652a8a-79bc0ef350fdee16
